,Max Torque,Max Torque(Nm)
2187,114Nm@4000rpm,114.0
2188,200Nm@1750rpm,200.0
2189,110Nm@4800rpm,110.0
2190,175Nm@1750-4000rpm,175.0
2191,113Nm@4200rpm,113.0
2194,400nm@1750-2500rpm,400.0
2196,191nm@4500rpm,191.0
2198,90Nm@3500rpm,90.0
2199,350Nm@1750-2500rpm,350.0
2200,51Nm@4000+/-500rpm,51.0
2201,151Nm@4850rpm,151.0
2202,114.7Nm@4000rpm,114.7
2203,113Nm@4200rpm,113.0
2204,114.7Nm@4000rpm,114.7
2205,114Nm@3500rpm,114.0
2206,200Nm@2000-3500rpm,200.0
2207,90Nm@3500rpm,90.0
2208,"11.5@4,500 (kgm@rpm)",112.7
2209,113.8nm@4000rpm,113.8
2210,109Nm@4500rpm,109.0
2211,113.75Nm@4000rpm,113.75
2212,350Nm@1750-2500rpm,350.0
2213,74.5Nm@4000rpm,74.5
2214,360Nm@1400-2600rpm,360.0
2215,69Nm@3500rpm,69.0
2216,90Nm@3500rpm,90.0
2218,113.75nm@4000rpm,113.75
2219,400Nm@1400-2800rpm,400.0
2220,78 Nm @ 4500 rpm ,78.0
2221,219.7Nm@1500-2750rpm,219.7
2222,113Nm@4400rpm,113.0
2223,90Nm@3500rpm,90.0
2224,114.73Nm@4000rpm,114.73
2225,90Nm@3500rpm,90.0
2226,343Nm@1400-2800rpm,343.0
2227,104Nm@4000rpm,104.0
2228,145Nm@4300rpm,145.0
2229,99Nm@4500 rpm,99.0
2230,130Nm@4000rpm,130.0
2231,190.24nm@1750-2250rpm,190.24
2232,140Nm@1800-3000rpm,140.0
2233,115Nm@4000rpm,115.0
2234,215Nm@1750-3000rpm,215.0
2235,250Nm@1500-3000rpm,250.0
2236,330Nm@1600-2800rpm,330.0
2237,145Nm@4600rpm,145.0
2238,117nm@4000rpm,117.0
2239,110Nm@4800rpm,110.0
2240,350Nm@1750-2500rpm,350.0
2241,350Nm@1750-2500rpm,350.0
2242,113.75nm@4000rpm,113.75
2243,110Nm@4800rpm,110.0
2244,114.73Nm@4000rpm,114.73
2245,114Nm@3500rpm,114.0
2246,113Nm@4200rpm,113.0
2247,110Nm@4800rpm,110.0
2248,"11.4 kgm at 4,000 rpm",111.72000000000001
2249,150Nm@4500rpm,150.0
2250,150Nm@1700-4500rpm,150.0
2251,200Nm@1750rpm,200.0
2252,175Nm@4250rpm,175.0
2253,146Nm at 4800 rpm,146.0
2254,280Nm@1350-4600rpm,280.0
2255,215Nm@1750-2500rpm,215.0
2256,138Nm@4400rpm,138.0
2257,114Nm@4000rpm,114.0
2259,219.7Nm@1500-2750rpm,219.7
2260,"19 @ 1,800 (kgm@rpm)",186.20000000000002
2261,114.7Nm@4000rpm,114.7
2262,220Nm@1500-2750rpm,220.0
2263,200Nm@1750rpm,200.0
2264,219.7Nm@1500-2750rpm,219.7
2265,151NM@4850rpm,151.0
2266,151Nm@4850rpm,151.0
2267,110Nm@4800rpm,110.0
2268,115Nm@4000rpm,115.0
2269,90Nm@3500rpm,90.0
2270,130Nm@4000rpm,130.0
2271,154.9Nm@4200rpm,154.9
2272,350Nm@1750-2500rpm,350.0
2273,380Nm@1750-2750rpm,380.0
2274,146Nm at 4800 rpm,146.0
2275,110Nm@3750rpm,110.0
2276,138Nm@4400rpm,138.0
2277,450Nm@1750-2500rpm,450.0
2278,343Nm@1400-3400rpm,343.0
2279,400Nm@1750-2500rpm,400.0
2280,113.75Nm@4000rpm,113.75
2281,170Nm@1400-4500rpm,170.0
2282,219.7Nm@1500-2750rpm,219.7
2283,270Nm@1750rpm,270.0
2284,113Nm@4200rpm,113.0
2285,110Nm@3750rpm,110.0
2286,96Nm@3500rpm,96.0
2287,91nm@4250rpm,91.0
2288,240Nm@1500-2750rpm,240.0
2289,114Nm@4000rpm,114.0
2290,170Nm@1400-4500rpm,170.0
2291,152Nm@2200-4400rpm,152.0
2295,115Nm@4500rpm,115.0
2296,115Nm@4000rpm,115.0
2297,320Nm@1500-4100rpm,320.0
2298,400Nm@1750-2500rpm,400.0
2299,91Nm@4250rpm,91.0
2300,160Nm@2800-3600rpm,160.0
2301,190Nm@2000rpm,190.0
2302,230Nm@1500-2500rpm,230.0
2303,145Nm@4600rpm,145.0
2304,90Nm@3500rpm,90.0
2305,145Nm@4600rpm,145.0
2306,145Nm@4300rpm,145.0
2307,250Nm@1500-2750rpm,250.0
2308,259.9Nm@1900-2750rpm,259.9
2309,114.7Nm@4000rpm,114.7
2310,178Nm@1750-4500rpm,178.0
2311,91Nm@4250rpm,91.0
2313,90Nm@3500rpm,90.0
2314,110Nm@4800rpm,110.0
2315,51Nm@4000+/-500rpm,51.0
2316,290Nm@1800-2800rpm,290.0
2317,110Nm@4800rpm,110.0
2318,110Nm@4800rpm,110.0
2319,190Nm@2000rpm,190.0
2320,160Nm@2000rpm,160.0
2321,260nm@1500-2750rpm,260.0
2322,170Nm@1750-4000rpm,170.0
2323,130Nm@4000rpm,130.0
2324,115Nm@4000rpm,115.0
2325,72Nm@4386rpm,72.0
2326,114Nm@4000rpm,114.0
2327,96Nm@3500rpm,96.0
2328,110Nm@3000-4300rpm,110.0
2329,150Nm@4500rpm,150.0
2330,89Nm@3500rpm,89.0
2331,200Nm@1750rpm,200.0
2332,330Nm@1600-2800rpm,330.0
2333,190Nm@1750-2250rpm,190.0
2335,242nm@1500-3200rpm,242.0
2336,115Nm@4200rpm,115.0
2337,69Nm@3500rpm,69.0
2339,113Nm@4200rpm,113.0
2341,145Nm@4600rpm,145.0
2342,113Nm@4200rpm,113.0
2343,113Nm@3300rpm,113.0
2344,114Nm@3500rpm,114.0
2345,72Nm@4386rpm,72.0
2346,115Nm@4000rpm,115.0
2347,144Nm@4500rpm,144.0
2348,190Nm@2000rpm,190.0
2349,96Nm@3500rpm,96.0
2350,170nm@1750-4000rpm,170.0
2351,300Nm@1400-3000rpm,300.0
2352,127Nm@3500rpm,127.0
2353,110Nm@4800rpm,110.0
2354,430Nm@1750-2500rpm,430.0
2355,219.6Nm@1500-2750rpm,219.6
2356,215Nm@1750-2500rpm,215.0
2357,130Nm@4000rpm,130.0
2358,113Nm@4200rpm,113.0
2359,340nm@1750-3000rpm,340.0
2360,119Nm@4250rpm,119.0
2361,113.75nm@4000rpm,113.75
2362,72Nm@4386rpm,72.0
2363,400Nm@1400-2800rpm,400.0
2364,172Nm@1500-4000rpm,172.0
2365,110Nm@4800rpm,110.0
2366,285Nm@2400-4000rpm,285.0
2367,113Nm@4200rpm,113.0
2368,205Nm@1750-3250rpm,205.0
2369,91Nm@4250rpm,91.0
2370,350Nm@1750-2500rpm,350.0
2371,200Nm@1750rpm,200.0
2372,200Nm@1400-3400rpm,200.0
2373,113.75nm@4000rpm,113.75
2374,153Nm@3800rpm,153.0
2375,90Nm@3500rpm,90.0
2376,155 Nm at 1600-2800 rpm,155.0
2377,113Nm@4400rpm,113.0
2378,224nm@1500-2750rpm,224.0
2379,146Nm@4800rpm,146.0
2380,145Nm@4600rpm,145.0
2381,74.5Nm@4000rpm,74.5
2382,113Nm@3300rpm,113.0
2383,113Nm@4200rpm,113.0
2384,72Nm@4386rpm,72.0
2385,114Nm@4000rpm,114.0
2386,110Nm@3000-4300rpm,110.0
2387,90Nm@3500rpm,90.0
2388,114Nm@4000rpm,114.0
2389,72Nm@4386rpm,72.0
2390,190Nm@2000rpm,190.0
2391,219.7Nm@1500-2750rpm,219.7
2392,138Nm@4400rpm,138.0
2393,62Nm@3000rpm,62.0
2394,200Nm@2000-3500rpm,200.0
2395,172Nm@1500-4000rpm,172.0
2396,113Nm@4200rpm,113.0
2397,90Nm@3500rpm,90.0
2398,115Nm@4000rpm,115.0
2400,178Nm@1750-4500rpm,178.0
2401,114Nm@4000rpm,114.0
2402,113Nm@4400rpm,113.0
2403,110Nm@4800rpm,110.0
2404,113.75nm@4000rpm,113.75
2405,114Nm@3500rpm,114.0
2406,113Nm@4200rpm,113.0
2407,115Nm@4000rpm,115.0
2408,160Nm@2000rpm,160.0
2409,114Nm@3500rpm,114.0
2410,110Nm@4800rpm,110.0
2411,113Nm@4200rpm,113.0
2412,69Nm@3500rpm,69.0
2413,145Nm@4600rpm,145.0
2414,200Nm@1750rpm,200.0
2415,111.7Nm@4000rpm,111.7
2416,"8.5@2,500 (kgm@rpm)",83.30000000000001
2417,90Nm@3500rpm,90.0
2418,200Nm@1400-3400rpm,200.0
2419,140Nm@1800-3000rpm,140.0
2420,110Nm@3000-4300rpm,110.0
2421,109Nm@4500rpm,109.0
2422,115Nm@4000rpm,115.0
2423,136.8Nm@4400rpm,136.8
2424,90Nm@3500rpm,90.0
2425,130Nm@4000rpm,130.0
2426,89Nm@3500rpm,89.0
2427,190Nm@2000rpm,190.0
2428,200Nm@1750rpm,200.0
2429,160Nm@1750rpm,160.0
2430,190Nm@2000rpm,190.0
2431,117nm@4000rpm,117.0
2432,90Nm@3500rpm,90.0
2433,190Nm@2000rpm,190.0
2434,90Nm@3500rpm,90.0
2435,91Nm@4250rpm,91.0
2436,190.24nm@1750-2250rpm,190.24
2437,190Nm@2000rpm,190.0
2438,360Nm@1200-3400rpm,360.0
2439,230Nm@1500-2500rpm,230.0
2440,360Nm@1400-2600rpm,360.0
2441,110Nm@4800rpm,110.0
2442,190.25nm@1750-2250rpm,190.25
2443,343Nm@1400-3400rpm,343.0
2444,190Nm@2000rpm,190.0
2445,113Nm@4400rpm,113.0
2446,114Nm@4000rpm,114.0
2447,240Nm@1600-2800rpm,240.0
2448,115Nm@4200rpm,115.0
2449,245Nm@1750rpm,245.0
2450,114.7Nm@4000rpm,114.7
2451,200Nm@1750rpm,200.0
2452,99Nm@4500 rpm,99.0
2453,142.5Nm@1750rpm,142.5
2454,113Nm@4200rpm,113.0
2455,259.9Nm@1900-2750rpm,259.9
2456,72Nm@4386rpm,72.0
2458,145Nm@4600rpm,145.0
2459,160Nm@2000rpm,160.0
2460,178Nm@1750-4500rpm,178.0
2461,142Nm@4000rpm,142.0
2464,190Nm@2000rpm,190.0
2465,175Nm@1500-4100rpm,175.0
2467,200Nm@1750rpm,200.0
2468,175Nm@1500-4100rpm,175.0
2470,240Nm@1600-2800rpm,240.0
2471,200Nm@1750rpm,200.0
2472,380Nm@1750-2750rpm,380.0
2473,259.9Nm@1900-2750rpm,259.9
2474,"113Nm @ 4,500rpm",113.0
2475,420Nm@2000rpm,420.0
2476,210 / 1900,
2477,95Nm@3500rpm,95.0
2478,215Nm@1750-3000rpm,215.0
2479,145Nm@4600rpm,145.0
2480,215Nm@1750-2500rpm,215.0
2481,110Nm@3000-4300rpm,110.0
2482,200Nm@1750rpm,200.0
2483,90Nm@3500rpm,90.0
2484,192.2Nm@4000rpm,192.2
2485,110Nm@4800rpm,110.0
2486,72Nm@4386rpm,72.0
2487,90Nm@3500rpm,90.0
2488,222Nm@4300rpm,222.0
2489,113Nm@4400rpm,113.0
2490,153Nm@3800rpm,153.0
2491,110Nm@4800rpm,110.0
2492,90Nm@3500rpm,90.0
2493,200Nm@1750rpm,200.0
2495,640Nm@1740rpm,640.0
2496,146Nm at 4800 rpm,146.0
2497,114Nm@4000rpm,114.0
2498,114Nm@4000rpm,114.0
2499,"10.4@3,000 (kgm@rpm)",101.92000000000002
2500,96Nm@2500rpm,96.0
2501,113Nm@4200rpm,113.0
2502,111.7Nm@4000rpm,111.7
2503,113.8nm@4000rpm,113.8
2504,95Nm@2950-3800rpm,95.0
2505,146Nm@4800rpm,146.0
2506,245nm@4000rpm,245.0
2507,144Nm@4500rpm,144.0
2508,132.3Nm@3300rpm,132.3
2509,99.04Nm@4500rpm,99.04
